id,title,title2,description,race,job/role,weapon/skill,anti-hero,recommended,nsfw
115067,Ansatsusha de Aru Ore no Status ga Yuusha yori mo Akiraka ni Tsuyoi no da ga,My Status as an Assassin Obviously Exceeds the Hero's,"When Akira's class is magically summoned to another world, he and his classmates are awarded fantastical powers–but while one of them is lucky enough to become a true Hero, Akira becomes a mere Assassin. However, against all odds, the Assassin just might be the most powerful role of all! Harboring doubts about the intentions of the king, Akira uses his newfound strength as a master of the shadows to uncover the secrets and conspiracies of the crown.",human,assassin,sword,0,1,0
96528,Arifureta Shokugyou de Sekai Saikyou,Arifureta: From Commonplace to World's Strongest,"After a magical circle suddenly appears at 
school, Hajime Nagumo and his classmates find themselves transported 
inside a church where they are welcomed as honored guests. Thrust into 
the RPG-like world of Tortus, each student shows great promise in both 
strength and never-before-seen classes—everyone besides Hajime. Given 
the class ""Synergist,"" which boasts borderline average stats on top of 
being weak in combat, Hajime is soon considered to be useless by the 
rest of his class.  



Working towards strengthening themselves, the students descend into a 
dungeon, but a mishap causes the entire class to be plunged into danger.
 Cornered by a large demon, they are trapped on a bridge looming over an
 abyss, the only way out being in front of them. In an effort to save 
his class, Hajime declares himself as bait, hoping his sacrifice will 
grant a chance of escape for the others. Though he intends to escape as 
well, a stray fireball flies in his direction, sending him flying off 
the bridge and down into the depths of the dungeon. Miraculously 
surviving, Hajime now begins his quest of survival in an attempt to 
reach the surface.",human,adventurer,gun,1,0,0
106300,Butsuri-san de Musou shitetara Motemote ni Narimashita,,"His harem consists of demi-human girls?! I was forced to withdraw from 
my world to learn magic with an alchemist, and while learning, I come 
upon a moment that only with my eyes could make any girl fall in love.",human,alchemist,magic,0,0,1
106810,Chiyu Mahou no Machigatta Tsukaikata: Senjou wo Kakeru Kaifuku Youin,The Wrong Way to Use Healing Magic,"Ken Usato is a normal high-schooler in 
every sense of the word—average grades, dreams, and a tendency to 
dislike extraordinary people. However, when he encounters the president 
and the vice president of the student council, both popular and 
extraordinary, he immediately befriends them. All of this is interrupted
 when Ken's new friends are summoned into another world—and he 
accidentally gets summoned as well!



Dejected and with no way to return, he resigns himself to staying 
quietly in the new world—until he finds out he has an affinity for 
healing magic, a very rare form of magic which gives him both 
self-confidence and the attention of all mages. However, not all 
attention is good, which is something Ken realizes when he is noticed by
 a crazy fellow healing magic user…",human,hero,healer,0,0,0
99313,Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!,High School Prodigies Have It Easy Even in Another World!,"Seven Japanese high school prodigies have 
taken the world by storm, exercising their mind-blowing abilities in 
everything from politics to entertainment. But when their plane crashes 
one day, these geniuses awaken to find themselves in a different 
realm-one that's home to magic and beast folk! While such strange new 
surroundings might throw an average person for a loop, these prodigies 
take their situation in stride... and then some! With the greatest minds
 and talents known to Earth, this dream team is about to turn the other 
world on its head!",human,student,strategist,0,0,0
83021,Death March kara Hajimaru Isekai Kyousoukyoku,Death March to the Parallel World Rhapsody,"29-year-old programmer Suzuki Ichirou finds himself transported into a fantasy RPG. Within the game, he's a 15-year-old named Satou. At first he thinks he's dreaming, but his experiences seem very real. Due to his use of a 3-time-use special power (meteor shower), he ends up wiping out an army of lizardmen and becoming very high level. He hides his level and plans to live peacefully and meet new people, though developments in the game story (like the return of a demon king) might get in his way.",human,adventurer,magic,0,0,0
13801,Drifters,,"At the start of the Edo period, the samurai
 Toyohisa Shimazu is in the midst of a bloody battle against the 
legendary Tokugawa clan to ensure the successful retreat of the Shimazu 
clan forces.



After his entire unit is massacred, Toyohisa manages to single-handedly 
force the enemy to withdraw—at the cost of being mortally wounded. 
Walking out of the battlefield dejected, he mysteriously finds himself 
in a white hallway, where he’s immediately thrown into a door. He 
awakens in a different world, and there he encounters ""Drifters,"" other 
legendary warriors who died and ended up in the same realm. Together, 
they use the knowledge and experience from their past lives in order to 
take over an empire and fight against an unknown force of evil that 
intends to crush all humanity.",human,warrior,sword,1,0,0
98820,Dungeon Seeker,,"Junpei Takeda, a meek high school student, 
regularly suffers at the hands of Kido Shouta and his gang of bullies. 
Luckily, his childhood friend Noriko Tatsumiya always comes to his 
rescue. One day, all of them are transported to a fantasy world by an 
aloof being who calls himself ""God."" Junpei quickly learns that he is 
just as weak in this new world as he was in his old one; yet, he now 
possesses a unique ability that allows him to learn a skill from any 
enemy he defeats.



After months of struggling to survive, Noriko and Kido trick Junpei into
 entering the ""Sacrificial Labyrinth,"" a dungeon filled with powerful 
monsters that no one has ever escaped from. Driven by revenge, Junpei 
ventures deeper into the labyrinth in search of an exit.",human,hunter,half monster,1,1,0
123093,Fantasy Bishoujo Juniku Ojisan to,,"A dull old man and his handsome best friend were summoned to another world by a naked goddess! However, because of the goddess's mischief, he has turned into a peerless beautiful girl?! To get back his body, he has to go on a journey with his best friend to defeat the demon king!! ""An old man that became a beautiful girl"" and ""A handsome old man""! Let the madness filled another world journey rom-com begin!!",human,hero,physical strength,0,0,0
113716,Gacha wo Mawashite Nakama wo Fuyasu: Saikyou no Bishoujo Gundan wo Tsukuriagero,Gacha Girls Corps,"Norl's a cutting-edge cutie with a cutting 
edge who's a cut above the rest. Heihachi's just your average mobile 
game addict with a whale-sized hole in his wallet. But one day, he pulls
 an item that pulls him into another world, spinning his life around 
with a spin of the gacha.



Attacked by monsters, and left without options, Heihachi does what he 
knows best—roll gacha! To his surprise, he watches his unit materialize 
before his eyes. Heihachi's used to seeing cute girls pop up on his 
phone, but he's never seen one pop out of his phone!",human,adventurer,gacha,0,0,0
105328,"Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu",Skeleton Knight in Another World,"One day, a gamer played video games until 
he fell asleep...and when he woke up, he found himself in the game 
world—as a skeleton! Equipped with the powerful weapons and armor of his
 avatar but stuck with its frightening skeletal appearance, Arc has to 
find a place for himself in this new, fantastical land. All his hopes 
for a quiet life are dashed when he crosses paths with a beautiful elven
 warrior, setting him on a journey full of conflict and adventure.",skeleton,holy knight,sword + magic,0,1,0
114595,Game of Familia: Kazoku Senki,,"The protagonist along with his step-mother and 2 step-aunts are summoned into another world where demi-humans are the rulers as saviors, but its not to fight against a demon lord, its to fight an Undead Apocalypse monsters called ""Dead Mell"" that have overrun the world and that can only be killed by using weapons made with holy silver. For that, a familia is made (group of 4 people) with them being the swordmaster that uses the holy sword, the guardian that uses the power of earth to protect, the healer that use the power of water to heal and the black mage that uses the power of fire to destroy. The role of the guardian, the mage and the healer is to support the swordmaster that can only kill the monsters. But to use magic powers one must offer part of your being as a sacrifice to form a contract with spirits, and the higher the sacrifice, the higher the power. Now they must choose who are the 3 that need to sacrifice part of their bodies to gain power and who will wield the holy sword.",human,magician,strategist,1,1,0
129229,Goshujinsama to Yuku Isekai Survival!,Survival in Another World with My Mistress!,"Kosuke found himself in a whole different 
world. Standing there with the wilderness to the east and a forest to 
his left, he decided to make good use of the occurrence, and tests his 
knowledge to where he finds this amazing crafting ability, just like the
 games from his original world!",human,slave,minecraft,0,0,1
91656,"Gun-Ota ga Mahou Sekai ni Tensei shitara, Gendai Heiki de Guntai Harem wo Tsukucchaimashita!?","When a Gun Nerd Is Reincarnated to a World of Magic, He Established a Harem army with Modern Weapons!?","Houta Youta, 27 years old, was a virgin, a high school dropout, and a former hikikomori. His life had been pretty horrible since his high school years and now, on his way home from work at the metalworking factory, he gets stabbed to death by a drug addict. However, it seems that he has been reborn in a fantasy world.",human,adventurer,gun,0,0,0
